shortname,longname,icon
unknown,Unknown Game,unknown.gif
1602ad,1602 A.D.,http://media.xfire.com/xfire/xf/images/icons/1602ad.gif
1701ad,1701 A.D,http://media.xfire.com/xfire/xf/images/icons/1701ad.gif
18wosaa,18 Wheels of Steel Across America,http://media.xfire.com/xfire/xf/images/icons/18wosaa.gif
18wosc,18 Wheels of Steel Convoy,http://media.xfire.com/xfire/xf/images/icons/18wosc.gif
pttm,18 Wheels of Steel Pedal to the Metal,http://media.xfire.com/xfire/xf/images/icons/pttm.gif
fifawc06,2006 FIFA World Cup,http://media.xfire.com/xfire/xf/images/icons/fifawc06.gif
25tolife,25 to Life,http://media.xfire.com/xfire/xf/images/icons/25tolife.gif
4x4evo2,4x4 Evo2,http://media.xfire.com/xfire/xf/images/icons/4x4evo2.gif
4x4evo,4x4 Evolution,http://media.xfire.com/xfire/xf/images/icons/4x4evo.gif
a3,A3,http://media.xfire.com/xfire/xf/images/icons/a3.gif
abpoker,Absolute Poker.com,http://media.xfire.com/xfire/xf/images/icons/abpoker.gif
actwarht,Act of War - High Treason,http://media.xfire.com/xfire/xf/images/icons/actwarht.gif
actwar,Act of War: Direct Action,http://media.xfire.com/xfire/xf/images/icons/actwar.gif
utact,Action Unreal Tournament 2004,http://media.xfire.com/xfire/xf/images/icons/utact.gif
ar,Advent Rising,http://media.xfire.com/xfire/xf/images/icons/ar.gif
aoe,Age of Empires,http://media.xfire.com/xfire/xf/images/icons/aoe.gif
aoe2,Age of Empires II,http://media.xfire.com/xfire/xf/images/icons/aoe2.gif
age2x1,Age of Empires II: The Conquerors Expansion,http://media.xfire.com/xfire/xf/images/icons/age2x1.gif
aoe3,Age of Empires III,http://media.xfire.com/xfire/xf/images/icons/aoe3.gif
aoe3twc,Age of Empires III - The WarChiefs,http://media.xfire.com/xfire/xf/images/icons/aoe3twc.gif
aoe3t,Age of Empires III Trial,http://media.xfire.com/xfire/xf/images/icons/aoe3t.gif
aoer,Age of Empires: The Rise of Rome,http://media.xfire.com/xfire/xf/images/icons/aoer.gif
aom,Age of Mythology,http://media.xfire.com/xfire/xf/images/icons/aom.gif
aomx,Age of Mythology - The Titans Expansion,http://media.xfire.com/xfire/xf/images/icons/aomx.gif
aowsm,Age of Wonders: Shadow Magic,http://media.xfire.com/xfire/xf/images/icons/aowsm.gif
airtcoon,Airport Tycoon,http://media.xfire.com/xfire/xf/images/icons/airtcoon.gif
alb18,Albatross18,http://media.xfire.com/xfire/xf/images/icons/alb18.gif
avp2,Aliens vs. Predator 2,http://media.xfire.com/xfire/xf/images/icons/avp2.gif
aao,America's Army: Special Forces,http://media.xfire.com/xfire/xf/images/icons/aao.gif
ao,Anarchy Online,http://media.xfire.com/xfire/xf/images/icons/ao.gif
alord,Archlord,http://media.xfire.com/xfire/xf/images/icons/alord.gif
a51,Area 51,http://media.xfire.com/xfire/xf/images/icons/a51.gif
armed,Armed and Dangerous,http://media.xfire.com/xfire/xf/images/icons/armed.gif
exigo,Armies of Exigo,http://media.xfire.com/xfire/xf/images/icons/exigo.gif
exigospd,Armies of Exigo Single Player Demo,http://media.xfire.com/xfire/xf/images/icons/exigospd.gif
ashc,Asheron's Call,http://media.xfire.com/xfire/xf/images/icons/ashc.gif
ashc2,Asheron's Call 2,http://media.xfire.com/xfire/xf/images/icons/ashc2.gif
aa,Auto Assault,http://media.xfire.com/xfire/xf/images/icons/aa.gif
ana,Axis & Allies,http://media.xfire.com/xfire/xf/images/icons/ana.gif
bdla,Bad Day LA,http://media.xfire.com/xfire/xf/images/icons/bdla.gif
baldur,Baldur's Gate,http://media.xfire.com/xfire/xf/images/icons/baldur.gif
bfme2,Battle for Middle-earth II,http://media.xfire.com/xfire/xf/images/icons/bfme2.gif
bfme2b,Battle for Middle-earth II Beta,http://media.xfire.com/xfire/xf/images/icons/bfme2b.gif
bf1942,Battlefield 1942,http://media.xfire.com/xfire/xf/images/icons/bf1942.gif
bf1942mpd,Battlefield 1942 Multiplayer Demo,http://media.xfire.com/xfire/xf/images/icons/bf1942mpd.gif
bf1942swd,Battlefield 1942 Secret Weapons of WWII Demo,http://media.xfire.com/xfire/xf/images/icons/bf1942swd.gif
bf1942spd,Battlefield 1942 Singleplayer Demo,http://media.xfire.com/xfire/xf/images/icons/bf1942spd.gif
bf2,Battlefield 2,http://media.xfire.com/xfire/xf/images/icons/bf2.gif
bf2dem,Battlefield 2 Demo,http://media.xfire.com/xfire/xf/images/icons/bf2dem.gif
bf2142,Battlefield 2142,http://media.xfire.com/xfire/xf/images/icons/bf2142.gif
bf2142d,Battlefield 2142 Demo,http://media.xfire.com/xfire/xf/images/icons/bf2142d.gif
bfv,Battlefield Vietnam,http://media.xfire.com/xfire/xf/images/icons/bfv.gif
bsmidway,Battlestations Midway,http://media.xfire.com/xfire/xf/images/icons/bsmidway.gif
bor,Beats of Rage,http://media.xfire.com/xfire/xf/images/icons/bor.gif
bos,Bet on Soldier,http://media.xfire.com/xfire/xf/images/icons/bos.gif
bw,Black & White,http://media.xfire.com/xfire/xf/images/icons/bw.gif
bw2,Black & White 2,http://media.xfire.com/xfire/xf/images/icons/bw2.gif
bw2bg,Black & White 2 Battle of the Gods,http://media.xfire.com/xfire/xf/images/icons/bw2bg.gif
blang,Blazing Angels,http://media.xfire.com/xfire/xf/images/icons/blang.gif
blitz,Blitzkrieg,http://media.xfire.com/xfire/xf/images/icons/blitz.gif
blitz2,Blitzkrieg 2,http://media.xfire.com/xfire/xf/images/icons/blitz2.gif
brayne,BloodRayne,http://media.xfire.com/xfire/xf/images/icons/brayne.gif
brayne2,BloodRayne 2,http://media.xfire.com/xfire/xf/images/icons/brayne2.gif
bshift,Blue Shift,http://media.xfire.com/xfire/xf/images/icons/bshift.gif
breed,Breed,http://media.xfire.com/xfire/xf/images/icons/breed.gif
bia,Brothers in Arms,http://media.xfire.com/xfire/xf/images/icons/bia.gif
biaeib,Brothers in Arms EIB,http://media.xfire.com/xfire/xf/images/icons/biaeib.gif
biaeibd,Brothers in Arms EIB Demo,http://media.xfire.com/xfire/xf/images/icons/biaeibd.gif
bzf,BZFlag,http://media.xfire.com/xfire/xf/images/icons/bzf.gif
ccgen,C&C Generals,http://media.xfire.com/xfire/xf/images/icons/ccgen.gif
ccgzh,C&C Generals - Zero Hour,http://media.xfire.com/xfire/xf/images/icons/ccgzh.gif
ccra,C&C Red Alert,http://media.xfire.com/xfire/xf/images/icons/ccra.gif
ra2,C&C Red Alert 2,http://media.xfire.com/xfire/xf/images/icons/ra2.gif
ccren,C&C Renegade,http://media.xfire.com/xfire/xf/images/icons/ccren.gif
ccts,C&C Tiberian Sun,http://media.xfire.com/xfire/xf/images/icons/ccts.gif
cctsf,C&C Tiberian Sun Firestorm,http://media.xfire.com/xfire/xf/images/icons/cctsf.gif
ccyr,C&C Yuri's Revenge,http://media.xfire.com/xfire/xf/images/icons/ccyr.gif
cabalo,CABAL Online (Europe),http://media.xfire.com/xfire/xf/images/icons/cabalo.gif
cbgh06,Cabela's Big Game Hunter 2006,http://media.xfire.com/xfire/xf/images/icons/cbgh06.gif
caesar3,Caesar 3,http://media.xfire.com/xfire/xf/images/icons/caesar3.gif
caesar4,Caesar 4,http://media.xfire.com/xfire/xf/images/icons/caesar4.gif
caesar4d,Caesar 4 Demo,http://media.xfire.com/xfire/xf/images/icons/caesar4d.gif
coc,Call of Cthulhu DCoTE,http://media.xfire.com/xfire/xf/images/icons/coc.gif
cod2mp,Call of Duty 2 Multiplayer,http://media.xfire.com/xfire/xf/images/icons/cod2mp.gif
cod2sp,Call of Duty 2 Single Player,http://media.xfire.com/xfire/xf/images/icons/cod2sp.gif
cod2spd,Call of Duty 2 Single Player Demo,http://media.xfire.com/xfire/xf/images/icons/cod2spd.gif
codmp,Call of Duty Multiplayer,http://media.xfire.com/xfire/xf/images/icons/codmp.gif
codsp,Call of Duty Single Player,http://media.xfire.com/xfire/xf/images/icons/codsp.gif
coduomp,Call of Duty United Offensive Multiplayer,http://media.xfire.com/xfire/xf/images/icons/coduomp.gif
coduosp,Call of Duty United Offensive Single Player,http://media.xfire.com/xfire/xf/images/icons/coduosp.gif
coduospd,Call of Duty United Offensive Single Player Demo,http://media.xfire.com/xfire/xf/images/icons/coduospd.gif
c3d,Carom 3D,http://media.xfire.com/xfire/xf/images/icons/c3d.gif
cm2006,Championship Manager 2006,http://media.xfire.com/xfire/xf/images/icons/cm2006.gif
cm2007,Championship Manager 2007,http://media.xfire.com/xfire/xf/images/icons/cm2007.gif
cm5,Championship Manager 5,http://media.xfire.com/xfire/xf/images/icons/cm5.gif
chrome,Chrome,http://media.xfire.com/xfire/xf/images/icons/chrome.gif
chrmpd,Chrome MP Demo 2004,http://media.xfire.com/xfire/xf/images/icons/chrmpd.gif
citylife,City Life,http://media.xfire.com/xfire/xf/images/icons/citylife.gif
coh,City of Heroes,http://media.xfire.com/xfire/xf/images/icons/coh.gif
coheu,City of Heroes EU,http://media.xfire.com/xfire/xf/images/icons/coheu.gif
cohts,City of Heroes Test Server,http://media.xfire.com/xfire/xf/images/icons/cohts.gif
cov,City of Villains,http://media.xfire.com/xfire/xf/images/icons/cov.gif
coveu,City of Villains EU,http://media.xfire.com/xfire/xf/images/icons/coveu.gif
covts,City of Villains Test Server,http://media.xfire.com/xfire/xf/images/icons/covts.gif
civcr,CivCity Rome,http://media.xfire.com/xfire/xf/images/icons/civcr.gif
civ3,Civilization III,http://media.xfire.com/xfire/xf/images/icons/civ3.gif
civ3con,Civilization III Conquests,http://media.xfire.com/xfire/xf/images/icons/civ3con.gif
civ3ptw,Civilization III Play the World,http://media.xfire.com/xfire/xf/images/icons/civ3ptw.gif
civ4,Civilization IV,http://media.xfire.com/xfire/xf/images/icons/civ4.gif
civ4w,Civilization IV - Warlords,http://media.xfire.com/xfire/xf/images/icons/civ4w.gif
ccftf,Close Combat First to Fight,http://media.xfire.com/xfire/xf/images/icons/ccftf.gif
codeg,Codename Gordon,http://media.xfire.com/xfire/xf/images/icons/codeg.gif
cfear,Cold Fear,http://media.xfire.com/xfire/xf/images/icons/cfear.gif
cmr04,Colin Mcrae Rally 04,http://media.xfire.com/xfire/xf/images/icons/cmr04.gif
cmr05,Colin Mcrae Rally 05,http://media.xfire.com/xfire/xf/images/icons/cmr05.gif
cfs3,Combat Flight Simulator 3,http://media.xfire.com/xfire/xf/images/icons/cfs3.gif
cc,Command & Conquer,http://media.xfire.com/xfire/xf/images/icons/cc.gif
cc3twd,Command & Conquer 3 Tiberium Wars Demo,http://media.xfire.com/xfire/xf/images/icons/cc3twd.gif
commsf,Commandos Strikeforce,http://media.xfire.com/xfire/xf/images/icons/commsf.gif
cheros,Company of Heroes,http://media.xfire.com/xfire/xf/images/icons/cheros.gif
cherosmpb,Company of Heroes Multiplayer Beta,http://media.xfire.com/xfire/xf/images/icons/cherosmpb.gif
cherosspd,Company of Heroes Single Player Demo,http://media.xfire.com/xfire/xf/images/icons/cherosspd.gif
condemned,Condemned - Criminal Origins,http://media.xfire.com/xfire/xf/images/icons/condemned.gif
cscz,Condition Zero,http://media.xfire.com/xfire/xf/images/icons/cscz.gif
csczds,Condition Zero Deleted Scenes,http://media.xfire.com/xfire/xf/images/icons/csczds.gif
conquer,Conquer Online,http://media.xfire.com/xfire/xf/images/icons/conquer.gif
cont,Continuum,http://media.xfire.com/xfire/xf/images/icons/cont.gif
cjack,Contract JACK,http://media.xfire.com/xfire/xf/images/icons/cjack.gif
cmonger,Control Monger,http://media.xfire.com/xfire/xf/images/icons/cmonger.gif
utcor,COR,http://media.xfire.com/xfire/xf/images/icons/utcor.gif
coss2,Cossacks II,http://media.xfire.com/xfire/xf/images/icons/coss2.gif
cs15,Counter-Strike 1.5,http://media.xfire.com/xfire/xf/images/icons/cs15.gif
cs,Counter-Strike 1.6,http://media.xfire.com/xfire/xf/images/icons/cs.gif
cs2d,CounterStrike 2D,http://media.xfire.com/xfire/xf/images/icons/cs2d.gif
css,Counter-Strike Source,http://media.xfire.com/xfire/xf/images/icons/css.gif
cssb,Counter-Strike Source Beta,http://media.xfire.com/xfire/xf/images/icons/cssb.gif
cday,Crashday,http://media.xfire.com/xfire/xf/images/icons/cday.gif
clife,Crime Life,http://media.xfire.com/xfire/xf/images/icons/clife.gif
dwaters,Dangerous Waters,http://media.xfire.com/xfire/xf/images/icons/dwaters.gif
daoc,Dark Age of Camelot,http://media.xfire.com/xfire/xf/images/icons/daoc.gif
daocc,Dark Age of Camelot - Catacombs,http://media.xfire.com/xfire/xf/images/icons/daocc.gif
daocdr,Dark Age of Camelot - Darkness Rising,http://media.xfire.com/xfire/xf/images/icons/daocdr.gif
daoclm,Dark Age of Camelot - Labyrinth of the Minotaur,http://media.xfire.com/xfire/xf/images/icons/daoclm.gif
daocsi,Dark Age of Camelot - Shrouded Isles,http://media.xfire.com/xfire/xf/images/icons/daocsi.gif
daocta,Dark Age of Camelot - Trials of Atlantis,http://media.xfire.com/xfire/xf/images/icons/daocta.gif
dmmp,Dark Messiah Multiplayer,http://media.xfire.com/xfire/xf/images/icons/dmmp.gif
dmmob,Dark Messiah Multiplayer Open Beta,http://media.xfire.com/xfire/xf/images/icons/dmmob.gif
dmsp,Dark Messiah Single Player,http://media.xfire.com/xfire/xf/images/icons/dmsp.gif
darwin,Darwinia,http://media.xfire.com/xfire/xf/images/icons/darwin.gif
darwind,Darwinia Demo,http://media.xfire.com/xfire/xf/images/icons/darwind.gif
wh40k,Dawn of War,http://media.xfire.com/xfire/xf/images/icons/wh40k.gif
wh40kdc,Dawn of War Dark Crusade,http://media.xfire.com/xfire/xf/images/icons/wh40kdc.gif
wh40kdcd,Dawn of War Dark Crusade Demo,http://media.xfire.com/xfire/xf/images/icons/wh40kdcd.gif
dowdem,Dawn of War Demo,http://media.xfire.com/xfire/xf/images/icons/dowdem.gif
wh40kwa,Dawn of War Winter Assault,http://media.xfire.com/xfire/xf/images/icons/wh40kwa.gif
dom,DawnOfMen,http://media.xfire.com/xfire/xf/images/icons/dom.gif
hldod15,Day of Defeat 1.5,http://media.xfire.com/xfire/xf/images/icons/hldod15.gif
hldod,Day of Defeat 1.6,http://media.xfire.com/xfire/xf/images/icons/hldod.gif
dods,Day of Defeat Source,http://media.xfire.com/xfire/xf/images/icons/dods.gif
hldmc15,Deathmatch Classic 1.5,http://media.xfire.com/xfire/xf/images/icons/hldmc15.gif
hldmc,Deathmatch Classic 1.6,http://media.xfire.com/xfire/xf/images/icons/hldmc.gif
dh03,Deer Hunter 2003,http://media.xfire.com/xfire/xf/images/icons/dh03.gif
dh04,Deer Hunter 2004,http://media.xfire.com/xfire/xf/images/icons/dh04.gif
dh05,Deer Hunter 2005,http://media.xfire.com/xfire/xf/images/icons/dh05.gif
defcon,Defcon,http://media.xfire.com/xfire/xf/images/icons/defcon.gif
df,Delta Force,http://media.xfire.com/xfire/xf/images/icons/df.gif
df2,Delta Force 2,http://media.xfire.com/xfire/xf/images/icons/df2.gif
dfbhd,Delta Force Black Hawk Down,http://media.xfire.com/xfire/xf/images/icons/dfbhd.gif
dfx,Delta Force Xtreme,http://media.xfire.com/xfire/xf/images/icons/dfx.gif
descentfs,Descent FreeSpace,http://media.xfire.com/xfire/xf/images/icons/descentfs.gif
deusex,Deus Ex,http://media.xfire.com/xfire/xf/images/icons/deusex.gif
deiw,Deus Ex Invisible War,http://media.xfire.com/xfire/xf/images/icons/deiw.gif
devst,Devastation,http://media.xfire.com/xfire/xf/images/icons/devst.gif
dmc3se,Devil May Cry 3 Special Edition,http://media.xfire.com/xfire/xf/images/icons/dmc3se.gif
diablo,Diablo,http://media.xfire.com/xfire/xf/images/icons/diablo.gif
d2,Diablo II,http://media.xfire.com/xfire/xf/images/icons/d2.gif
d2lod,Diablo II - Lord of Destruction,http://media.xfire.com/xfire/xf/images/icons/d2lod.gif
paintball2,Digital Paint: Paintball 2,http://media.xfire.com/xfire/xf/images/icons/paintball2.gif
hldpb,Digital Paintball,http://media.xfire.com/xfire/xf/images/icons/hldpb.gif
dis2gr,Disciples 2 - Gallean's Return,http://media.xfire.com/xfire/xf/images/icons/dis2gr.gif
dis2rote,Disciples 2 - Rise of the Elves,http://media.xfire.com/xfire/xf/images/icons/dis2rote.gif
doom3,Doom 3,http://media.xfire.com/xfire/xf/images/icons/doom3.gif
doom3roe,Doom 3 Resurrection of Evil,http://media.xfire.com/xfire/xf/images/icons/doom3roe.gif
droom,Doyles Room.com,http://media.xfire.com/xfire/xf/images/icons/droom.gif
dshard,Dragonshard,http://media.xfire.com/xfire/xf/images/icons/dshard.gif
dfall,Dreamfall,http://media.xfire.com/xfire/xf/images/icons/dfall.gif
driv3r,Driv3r,http://media.xfire.com/xfire/xf/images/icons/driv3r.gif
d2000,Dune 2000,http://media.xfire.com/xfire/xf/images/icons/d2000.gif
dkeeper2,Dungeon Keeper 2,http://media.xfire.com/xfire/xf/images/icons/dkeeper2.gif
dlords,Dungeon Lords,http://media.xfire.com/xfire/xf/images/icons/dlords.gif
ds,Dungeon Siege,http://media.xfire.com/xfire/xf/images/icons/ds.gif
ds2,Dungeon Siege II,http://media.xfire.com/xfire/xf/images/icons/ds2.gif
ds2bw,Dungeon Siege II Broken World,http://media.xfire.com/xfire/xf/images/icons/ds2bw.gif
ds2b,Dungeon Siege II Demo,http://media.xfire.com/xfire/xf/images/icons/ds2b.gif
dsloa,Dungeon Siege Legends of Aranna,http://media.xfire.com/xfire/xf/images/icons/dsloa.gif
ddo,Dungeons & Dragons Online - Stormreach,http://media.xfire.com/xfire/xf/images/icons/ddo.gif
hl2dys,Dystopia v1,http://media.xfire.com/xfire/xf/images/icons/hl2dys.gif
e2160,Earth 2160,http://media.xfire.com/xfire/xf/images/icons/e2160.gif
hlesf,Earth's Special Forces,http://media.xfire.com/xfire/xf/images/icons/hlesf.gif
elmat,El Matador,http://media.xfire.com/xfire/xf/images/icons/elmat.gif
empbfd,Emperor - Battle for Dune,http://media.xfire.com/xfire/xf/images/icons/empbfd.gif
ee,Empire Earth,http://media.xfire.com/xfire/xf/images/icons/ee.gif
ee2,Empire Earth II,http://media.xfire.com/xfire/xf/images/icons/ee2.gif
ee2aos,Empire Earth II Art of Supremacy,http://media.xfire.com/xfire/xf/images/icons/ee2aos.gif
empirep,EmpirePoker.com,http://media.xfire.com/xfire/xf/images/icons/empirep.gif
hl2emp,Empires,http://media.xfire.com/xfire/xf/images/icons/hl2emp.gif
edmw,Empires Dawn of the Modern World,http://media.xfire.com/xfire/xf/images/icons/edmw.gif
etm,Enter the Matrix,http://media.xfire.com/xfire/xf/images/icons/etm.gif
eragon,Eragon,http://media.xfire.com/xfire/xf/images/icons/eragon.gif
efmi,Escape from Monkey Island,http://media.xfire.com/xfire/xf/images/icons/efmi.gif
eve,Eve Online,http://media.xfire.com/xfire/xf/images/icons/eve.gif
evpoker,Everest Poker.com,http://media.xfire.com/xfire/xf/images/icons/evpoker.gif
eq,Everquest,http://media.xfire.com/xfire/xf/images/icons/eq.gif
eq2,EverQuest II,http://media.xfire.com/xfire/xf/images/icons/eq2.gif
eq2beta,EverQuest II Beta,http://media.xfire.com/xfire/xf/images/icons/eq2beta.gif
evilg,Evil Genius,http://media.xfire.com/xfire/xf/images/icons/evilg.gif
fable,Fable - The Lost Chapters,http://media.xfire.com/xfire/xf/images/icons/fable.gif
fow,Faces of War,http://media.xfire.com/xfire/xf/images/icons/fow.gif
fahrenheit,Fahrenheit,http://media.xfire.com/xfire/xf/images/icons/fahrenheit.gif
falcon4,Falcon 4.0 Allied Force,http://media.xfire.com/xfire/xf/images/icons/falcon4.gif
fallout,Fallout,http://media.xfire.com/xfire/xf/images/icons/fallout.gif
fallout2,Fallout 2,http://media.xfire.com/xfire/xf/images/icons/fallout2.gif
ft,Fallout Tactics,http://media.xfire.com/xfire/xf/images/icons/ft.gif
fc,Far Cry,http://media.xfire.com/xfire/xf/images/icons/fc.gif
fate,Fate,http://media.xfire.com/xfire/xf/images/icons/fate.gif
fearep,FEAR Extraction Point,http://media.xfire.com/xfire/xf/images/icons/fearep.gif
fearepspd,FEAR Extraction Point SP Demo,http://media.xfire.com/xfire/xf/images/icons/fearepspd.gif
fearmp,FEAR Multiplayer,http://media.xfire.com/xfire/xf/images/icons/fearmp.gif
fearmpd,FEAR Multiplayer Demo,http://media.xfire.com/xfire/xf/images/icons/fearmpd.gif
fear,FEAR Single Player,http://media.xfire.com/xfire/xf/images/icons/fear.gif
feard,FEAR SP Demo,http://media.xfire.com/xfire/xf/images/icons/feard.gif
fifa07,FIFA 07,http://media.xfire.com/xfire/xf/images/icons/fifa07.gif
fifa2k3,FIFA 2003,http://media.xfire.com/xfire/xf/images/icons/fifa2k3.gif
fifam06,FIFA Manager 06,http://media.xfire.com/xfire/xf/images/icons/fifam06.gif
fifa06,FIFA Soccer 06,http://media.xfire.com/xfire/xf/images/icons/fifa06.gif
fifa2k5,FIFA Soccer 2005,http://media.xfire.com/xfire/xf/images/icons/fifa2k5.gif
ff7,Final Fantasy VII,http://media.xfire.com/xfire/xf/images/icons/ff7.gif
ff8,Final Fantasy VIII,http://media.xfire.com/xfire/xf/images/icons/ff8.gif
ff11o,Final Fantasy XI Online,http://media.xfire.com/xfire/xf/images/icons/ff11o.gif
hlfa,Firearms,http://media.xfire.com/xfire/xf/images/icons/hlfa.gif
firstbat,First Battalion,http://media.xfire.com/xfire/xf/images/icons/firstbat.gif
fo,Flatout,http://media.xfire.com/xfire/xf/images/icons/fo.gif
fo2,Flatout 2,http://media.xfire.com/xfire/xf/images/icons/fo2.gif
msfs2k4,Flight Simulator 2004,http://media.xfire.com/xfire/xf/images/icons/msfs2k4.gif
flyff,Flyff,http://media.xfire.com/xfire/xf/images/icons/flyff.gif
fm2005,Football Manager 2005,http://media.xfire.com/xfire/xf/images/icons/fm2005.gif
fm2006,Football Manager 2006,http://media.xfire.com/xfire/xf/images/icons/fm2006.gif
fm2007,Football Manager 2007,http://media.xfire.com/xfire/xf/images/icons/fm2007.gif
utfo,Frag Ops,http://media.xfire.com/xfire/xf/images/icons/utfo.gif
winfcell,Freecell,http://media.xfire.com/xfire/xf/images/icons/winfcell.gif
ffighters,Freedom Fighters,http://media.xfire.com/xfire/xf/images/icons/ffighters.gif
ffvtr,Freedom Force vs The 3rd Reich,http://media.xfire.com/xfire/xf/images/icons/ffvtr.gif
frlncr,Freelancer,http://media.xfire.com/xfire/xf/images/icons/frlncr.gif
fof,Frets on Fire,http://media.xfire.com/xfire/xf/images/icons/fof.gif
fsw2th,FSW Ten Hammers,http://media.xfire.com/xfire/xf/images/icons/fsw2th.gif
fsw,Full Spectrum Warrior,http://media.xfire.com/xfire/xf/images/icons/fsw.gif
ftpoker,Full Tilt Poker.com,http://media.xfire.com/xfire/xf/images/icons/ftpoker.gif
gciv,Galactic Civilizations,http://media.xfire.com/xfire/xf/images/icons/gciv.gif
gcivap,Galactic Civilizations - The Altarian Prophecy,http://media.xfire.com/xfire/xf/images/icons/gcivap.gif
gciv2,Galactic Civilizations II,http://media.xfire.com/xfire/xf/images/icons/gciv2.gif
gtycoon,Game Tycoon,http://media.xfire.com/xfire/xf/images/icons/gtycoon.gif
gtap,GameTap,http://media.xfire.com/xfire/xf/images/icons/gtap.gif
gcp,Gaming Club Poker,http://media.xfire.com/xfire/xf/images/icons/gcp.gif
gland,Gangland,http://media.xfire.com/xfire/xf/images/icons/gland.gif
got,Gates of Troy,http://media.xfire.com/xfire/xf/images/icons/got.gif
gampd,GetAmped,http://media.xfire.com/xfire/xf/images/icons/gampd.gif
gr,Ghost Recon,http://media.xfire.com/xfire/xf/images/icons/gr.gif
graw,Ghost Recon Advanced Warfighter,http://media.xfire.com/xfire/xf/images/icons/graw.gif
grawd,Ghost Recon Advanced Warfighter Demo,http://media.xfire.com/xfire/xf/images/icons/grawd.gif
giants,Giants: Citizen Kabuto,http://media.xfire.com/xfire/xf/images/icons/giants.gif
gotre,Glory of the Roman Empire,http://media.xfire.com/xfire/xf/images/icons/gotre.gif
glq,GLQuake,http://media.xfire.com/xfire/xf/images/icons/glq.gif
hl2ge,Goldeneye: Source,http://media.xfire.com/xfire/xf/images/icons/hl2ge.gif
goonzu,Goonzu Online,http://media.xfire.com/xfire/xf/images/icons/goonzu.gif
