shortname,longname,icon
rct2,RollerCoaster Tycoon 2,http://media.xfire.com/xfire/xf/images/icons/rct2.gif
rct3,RollerCoaster Tycoon 3,http://media.xfire.com/xfire/xf/images/icons/rct3.gif
rct3s,RollerCoaster Tycoon 3 Soaked,http://media.xfire.com/xfire/xf/images/icons/rct3s.gif
rct3w,RollerCoaster Tycoon 3 Wild,http://media.xfire.com/xfire/xf/images/icons/rct3w.gif
rtwbi,Rome - Barbarian Invasion,http://media.xfire.com/xfire/xf/images/icons/rtwbi.gif
rtw,Rome - Total War,http://media.xfire.com/xfire/xf/images/icons/rtw.gif
roe,Rubies of Eventide,http://media.xfire.com/xfire/xf/images/icons/roe.gif
rune,Rune,http://media.xfire.com/xfire/xf/images/icons/rune.gif
rfb,Rush For Berlin,http://media.xfire.com/xfire/xf/images/icons/rfb.gif
sacred,Sacred,http://media.xfire.com/xfire/xf/images/icons/sacred.gif
sacredu,Sacred Underworld,http://media.xfire.com/xfire/xf/images/icons/sacredu.gif
sfice,Sacrifice,http://media.xfire.com/xfire/xf/images/icons/sfice.gif
utsas,SAS Into the Lion's Den,http://media.xfire.com/xfire/xf/images/icons/utsas.gif
sav,Savage: The Battle for Newerth,http://media.xfire.com/xfire/xf/images/icons/sav.gif
savdem,Savage: The Battle for Newerth DEMO 2.0,http://media.xfire.com/xfire/xf/images/icons/savdem.gif
sface,Scarface,http://media.xfire.com/xfire/xf/images/icons/sface.gif
schtcoon,School Tycoon,http://media.xfire.com/xfire/xf/images/icons/schtcoon.gif
scrap,Scrapland,http://media.xfire.com/xfire/xf/images/icons/scrap.gif
sl,Second Life,http://media.xfire.com/xfire/xf/images/icons/sl.gif
ssam,Serious Sam,http://media.xfire.com/xfire/xf/images/icons/ssam.gif
ssse,Serious Sam - The Second Encounter,http://media.xfire.com/xfire/xf/images/icons/ssse.gif
ssam2,Serious Sam 2,http://media.xfire.com/xfire/xf/images/icons/ssam2.gif
ss2d,Serious Sam 2 Demo,http://media.xfire.com/xfire/xf/images/icons/ss2d.gif
sbane,Shadowbane,http://media.xfire.com/xfire/xf/images/icons/sbane.gif
shadowg,Shadowgrounds,http://media.xfire.com/xfire/xf/images/icons/shadowg.gif
shgal,Shattered Galaxy,http://media.xfire.com/xfire/xf/images/icons/shgal.gif
su,Shattered Union,http://media.xfire.com/xfire/xf/images/icons/su.gif
ssn67,ShellShock Nam67,http://media.xfire.com/xfire/xf/images/icons/ssn67.gif
shoto,Shot Online,http://media.xfire.com/xfire/xf/images/icons/shoto.gif
smac,Sid Meier's Alpha Centauri,http://media.xfire.com/xfire/xf/images/icons/smac.gif
smp,Sid Meier's Pirates!,http://media.xfire.com/xfire/xf/images/icons/smp.gif
smrr,Sid Meier's Railroads,http://media.xfire.com/xfire/xf/images/icons/smrr.gif
shill2,Silent Hill 2,http://media.xfire.com/xfire/xf/images/icons/shill2.gif
shill3,Silent Hill 3,http://media.xfire.com/xfire/xf/images/icons/shill3.gif
shill4,Silent Hill 4,http://media.xfire.com/xfire/xf/images/icons/shill4.gif
sh3,Silent Hunter III,http://media.xfire.com/xfire/xf/images/icons/sh3.gif
s2,Silent Storm,http://media.xfire.com/xfire/xf/images/icons/s2.gif
sro,Silkroad Online,http://media.xfire.com/xfire/xf/images/icons/sro.gif
sc3,SimCity 3000,http://media.xfire.com/xfire/xf/images/icons/sc3.gif
sc3u,SimCity 3000 Unlimited,http://media.xfire.com/xfire/xf/images/icons/sc3u.gif
simc4,SimCity 4,http://media.xfire.com/xfire/xf/images/icons/simc4.gif
sins,Sin (Steam),http://media.xfire.com/xfire/xf/images/icons/sins.gif
sine1,Sin Episodes - Emergence,http://media.xfire.com/xfire/xf/images/icons/sine1.gif
sinmps,Sin Multiplayer (Steam),http://media.xfire.com/xfire/xf/images/icons/sinmps.gif
skillground,SkillGround.com,http://media.xfire.com/xfire/xf/images/icons/skillground.gif
snipere,Sniper Elite,http://media.xfire.com/xfire/xf/images/icons/snipere.gif
soldat,Soldat,http://media.xfire.com/xfire/xf/images/icons/soldat.gif
sfront,Soldier Front,http://media.xfire.com/xfire/xf/images/icons/sfront.gif
sof,Soldier of Fortune,http://media.xfire.com/xfire/xf/images/icons/sof.gif
sof2mp,Soldier of Fortune II Multiplayer,http://media.xfire.com/xfire/xf/images/icons/sof2mp.gif
sof2sp,Soldier of Fortune II Single Player,http://media.xfire.com/xfire/xf/images/icons/sof2sp.gif
soldiers,Soldiers - Heroes of World War II,http://media.xfire.com/xfire/xf/images/icons/soldiers.gif
soldner,Soldner - Secret Wars,http://media.xfire.com/xfire/xf/images/icons/soldner.gif
sold,Soldner Beta Demo,http://media.xfire.com/xfire/xf/images/icons/sold.gif
winsol,Solitaire,http://media.xfire.com/xfire/xf/images/icons/winsol.gif
sonich,Sonic Heroes,http://media.xfire.com/xfire/xf/images/icons/sonich.gif
sonicr,Sonic Riders,http://media.xfire.com/xfire/xf/images/icons/sonicr.gif
hl2sdk,Source SDK Base,http://media.xfire.com/xfire/xf/images/icons/hl2sdk.gif
hl2sf,Sourceforts,http://media.xfire.com/xfire/xf/images/icons/hl2sf.gif
se4dlx,Space Empires IV Deluxe,http://media.xfire.com/xfire/xf/images/icons/se4dlx.gif
se5,Space Empires V,http://media.xfire.com/xfire/xf/images/icons/se5.gif
srangers2,Space Rangers 2,http://media.xfire.com/xfire/xf/images/icons/srangers2.gif
spacecow,SpaceCowboy,http://media.xfire.com/xfire/xf/images/icons/spacecow.gif
spartan,Spartan,http://media.xfire.com/xfire/xf/images/icons/spartan.gif
sforce,SpellForce - The Order of Dawn,http://media.xfire.com/xfire/xf/images/icons/sforce.gif
sforce2,SpellForce2 - Shadow Wars,http://media.xfire.com/xfire/xf/images/icons/sforce2.gif
winspdr,Spider Solitaire,http://media.xfire.com/xfire/xf/images/icons/winspdr.gif
spcell,Splinter Cell,http://media.xfire.com/xfire/xf/images/icons/spcell.gif
scctmp,Splinter Cell Chaos Theory Multiplayer,http://media.xfire.com/xfire/xf/images/icons/scctmp.gif
scctsp,Splinter Cell Chaos Theory Single Player,http://media.xfire.com/xfire/xf/images/icons/scctsp.gif
scctspd,Splinter Cell Chaos Theory Single Player Demo,http://media.xfire.com/xfire/xf/images/icons/scctspd.gif
scctvb,Splinter Cell Chaos Theory Versus Beta,http://media.xfire.com/xfire/xf/images/icons/scctvb.gif
scdamp,Splinter Cell Double Agent Multiplayer,http://media.xfire.com/xfire/xf/images/icons/scdamp.gif
scdasp,Splinter Cell Double Agent Single Player,http://media.xfire.com/xfire/xf/images/icons/scdasp.gif
scptmp,Splinter Cell Pandora Tomorrow Multiplayer,http://media.xfire.com/xfire/xf/images/icons/scptmp.gif
scptsp,Splinter Cell Pandora Tomorrow Single Player,http://media.xfire.com/xfire/xf/images/icons/scptsp.gif
scrtk,Sprint Cars: Road to Knoxville,http://media.xfire.com/xfire/xf/images/icons/scrtk.gif
stacked,Stacked,http://media.xfire.com/xfire/xf/images/icons/stacked.gif
starm,Star Trek Armada,http://media.xfire.com/xfire/xf/images/icons/starm.gif
starm2,Star Trek Armada II,http://media.xfire.com/xfire/xf/images/icons/starm2.gif
stat,Star Trek Away Team,http://media.xfire.com/xfire/xf/images/icons/stat.gif
stbc,Star Trek Bridge Commander,http://media.xfire.com/xfire/xf/images/icons/stbc.gif
stet2,Star Trek Elite Force II,http://media.xfire.com/xfire/xf/images/icons/stet2.gif
stlegacy,Star Trek Legacy,http://media.xfire.com/xfire/xf/images/icons/stlegacy.gif
stvefmp,Star Trek Voyager: Elite Force Multiplayer,http://media.xfire.com/xfire/xf/images/icons/stvefmp.gif
stvefsp,Star Trek Voyager: Elite Force Single Player,http://media.xfire.com/xfire/xf/images/icons/stvefsp.gif
swbf,Star Wars Battlefront,http://media.xfire.com/xfire/xf/images/icons/swbf.gif
swbf2,Star Wars Battlefront II,http://media.xfire.com/xfire/xf/images/icons/swbf2.gif
sweaw,Star Wars Empire at War,http://media.xfire.com/xfire/xf/images/icons/sweaw.gif
sweawdem,Star Wars Empire at War Demo,http://media.xfire.com/xfire/xf/images/icons/sweawdem.gif
sweawfoc,Star Wars Empire at War Forces of Corruption,http://media.xfire.com/xfire/xf/images/icons/sweawfoc.gif
swgb,Star Wars Galactic Battlegrounds,http://media.xfire.com/xfire/xf/images/icons/swgb.gif
swgbcc,Star Wars Galactic Battlegrounds - Clone Campaigns,http://media.xfire.com/xfire/xf/images/icons/swgbcc.gif
swgjtlb,Star Wars Galaxies - The Jump to Lightspeed Beta,http://media.xfire.com/xfire/xf/images/icons/swgjtlb.gif
swgaed,Star Wars Galaxies: An Empire Divided,http://media.xfire.com/xfire/xf/images/icons/swgaed.gif
swkotor,Star Wars Knights of the Old Republic,http://media.xfire.com/xfire/xf/images/icons/swkotor.gif
swkotor2,Star Wars Knights of the Old Republic II: The Sith Lords,http://media.xfire.com/xfire/xf/images/icons/swkotor2.gif
swrc,Star Wars Republic Commando,http://media.xfire.com/xfire/xf/images/icons/swrc.gif
swrcd,Star Wars Republic Commando Demo,http://media.xfire.com/xfire/xf/images/icons/swrcd.gif
swsf,Star Wars Starfighter,http://media.xfire.com/xfire/xf/images/icons/swsf.gif
sc,StarCraft,http://media.xfire.com/xfire/xf/images/icons/sc.gif
scbw,StarCraft Brood War,http://media.xfire.com/xfire/xf/images/icons/scbw.gif
sc2,StarCraft 2,http://media.xfire.com/xfire/xf/images/icons/sc2b.gif
tribes,Starsiege Tribes,http://media.xfire.com/xfire/xf/images/icons/tribes.gif
smania,Stepmania CVS,http://media.xfire.com/xfire/xf/images/icons/smania.gif
slife,StillLife,http://media.xfire.com/xfire/xf/images/icons/slife.gif
shold,Stronghold,http://media.xfire.com/xfire/xf/images/icons/shold.gif
shold2,Stronghold 2,http://media.xfire.com/xfire/xf/images/icons/shold2.gif
sholdc,Stronghold Crusader,http://media.xfire.com/xfire/xf/images/icons/sholdc.gif
sholdleg,Stronghold Legends,http://media.xfire.com/xfire/xf/images/icons/sholdleg.gif
stz,Stubbs the Zombie,http://media.xfire.com/xfire/xf/images/icons/stz.gif
ss2,Sudden Strike II,http://media.xfire.com/xfire/xf/images/icons/ss2.gif
spower2,Superpower 2,http://media.xfire.com/xfire/xf/images/icons/spower2.gif
supcomb,Supreme Commander,http://media.xfire.com/xfire/xf/images/icons/supcomb.gif
hlsc,Sven Co-op,http://media.xfire.com/xfire/xf/images/icons/hlsc.gif
swat4,SWAT 4,http://media.xfire.com/xfire/xf/images/icons/swat4.gif
swat4tss,SWAT 4 - The Stetchkov Syndicate,http://media.xfire.com/xfire/xf/images/icons/swat4tss.gif
swat4mpd,SWAT 4 MP Beta,http://media.xfire.com/xfire/xf/images/icons/swat4mpd.gif
sots,Sword of the Stars,http://media.xfire.com/xfire/xf/images/icons/sots.gif
sotsd,Sword of the Stars Demo,http://media.xfire.com/xfire/xf/images/icons/sotsd.gif
sshock2,System Shock 2,http://media.xfire.com/xfire/xf/images/icons/sshock2.gif
tacops,Tactical Ops,http://media.xfire.com/xfire/xf/images/icons/tacops.gif
tocurl,Take-Out Weight Curling,http://media.xfire.com/xfire/xf/images/icons/tocurl.gif
tocurl2,Take-Out Weight Curling 2,http://media.xfire.com/xfire/xf/images/icons/tocurl2.gif
hltfc15,Team Fortress Classic 1.5,http://media.xfire.com/xfire/xf/images/icons/hltfc15.gif
hltfc,Team Fortress Classic 1.6,http://media.xfire.com/xfire/xf/images/icons/hltfc.gif
tspeak,TeamSpeak,http://media.xfire.com/xfire/xf/images/icons/tspeak.gif
btale,The Bard's Tale,http://media.xfire.com/xfire/xf/images/icons/btale.gif
riddick,The Chronicles of Riddick: Escape from Butcher Bay,http://media.xfire.com/xfire/xf/images/icons/riddick.gif
comi,The Curse of Monkey Island,http://media.xfire.com/xfire/xf/images/icons/comi.gif
tdvc,The Da Vinci Code,http://media.xfire.com/xfire/xf/images/icons/tdvc.gif
godfthr,The Godfather,http://media.xfire.com/xfire/xf/images/icons/godfthr.gif
guild2,The Guild 2,http://media.xfire.com/xfire/xf/images/icons/guild2.gif
tlj,The Longest Journey,http://media.xfire.com/xfire/xf/images/icons/tlj.gif
bfme,The Lord of the Rings - The Battle for Middle-Earth,http://media.xfire.com/xfire/xf/images/icons/bfme.gif
bfme2wk,"The Lord of the Rings, The Rise of the Witch-king",http://media.xfire.com/xfire/xf/images/icons/bfme2wk.gif
mtpon,The Matrix - The Path of Neo,http://media.xfire.com/xfire/xf/images/icons/mtpon.gif
tmo,The Matrix Online,http://media.xfire.com/xfire/xf/images/icons/tmo.gif
movies,The Movies,http://media.xfire.com/xfire/xf/images/icons/movies.gif
moviesse,The Movies Stunts & Effects,http://media.xfire.com/xfire/xf/images/icons/moviesse.gif
pun,The Punisher,http://media.xfire.com/xfire/xf/images/icons/pun.gif
ryzom,The Saga of Ryzom,http://media.xfire.com/xfire/xf/images/icons/ryzom.gif
s210th,The Settlers II - 10th Anniversary,http://media.xfire.com/xfire/xf/images/icons/s210th.gif
settlers4,The Settlers IV,http://media.xfire.com/xfire/xf/images/icons/settlers4.gif
hoks,The Settlers: Heritage of Kings,http://media.xfire.com/xfire/xf/images/icons/hoks.gif
hoksdem,The Settlers: Heritage of Kings Demo,http://media.xfire.com/xfire/xf/images/icons/hoksdem.gif
ship,The Ship,http://media.xfire.com/xfire/xf/images/icons/ship.gif
tshr,The Simpsons Hit & Run,http://media.xfire.com/xfire/xf/images/icons/tshr.gif
sims,The Sims,http://media.xfire.com/xfire/xf/images/icons/sims.gif
sims2,The Sims 2,http://media.xfire.com/xfire/xf/images/icons/sims2.gif
sims2ffs,The Sims 2 Family Fun Stuff,http://media.xfire.com/xfire/xf/images/icons/sims2ffs.gif
sims2gls,The Sims 2 Glamour Life Stuff,http://media.xfire.com/xfire/xf/images/icons/sims2gls.gif
sims2n,The Sims 2 Nightlife,http://media.xfire.com/xfire/xf/images/icons/sims2n.gif
sims2ofb,The Sims 2 Open for Business,http://media.xfire.com/xfire/xf/images/icons/sims2ofb.gif
sims2p,The Sims 2 Pets,http://media.xfire.com/xfire/xf/images/icons/sims2p.gif
sims2s,The Sims 2 Seasons,http://media.xfire.com/xfire/xf/images/icons/sims2s.gif
sims2u,The Sims 2 University,http://media.xfire.com/xfire/xf/images/icons/sims2u.gif
simsls,The Sims Life Stories,http://media.xfire.com/xfire/xf/images/icons/simsls.gif
tso,The Sims Online,http://media.xfire.com/xfire/xf/images/icons/tso.gif
csts,The Specialists,http://media.xfire.com/xfire/xf/images/icons/csts.gif
tsttb,The Suffering Ties That Bind,http://media.xfire.com/xfire/xf/images/icons/tsttb.gif
toee,The Temple of Elemental Evil,http://media.xfire.com/xfire/xf/images/icons/toee.gif
woool,The World of Legend,http://media.xfire.com/xfire/xf/images/icons/woool.gif
there,There,http://media.xfire.com/xfire/xf/images/icons/there.gif
thief,Thief,http://media.xfire.com/xfire/xf/images/icons/thief.gif
thiefds,Thief - Deadly Shadows,http://media.xfire.com/xfire/xf/images/icons/thiefds.gif
thief2,Thief 2 The Metal Age,http://media.xfire.com/xfire/xf/images/icons/thief2.gif
tw06,Tiger Woods PGA Tour 06,http://media.xfire.com/xfire/xf/images/icons/tw06.gif
tw07,Tiger Woods PGA Tour 07,http://media.xfire.com/xfire/xf/images/icons/tw07.gif
tw2k4,Tiger Woods PGA Tour 2004,http://media.xfire.com/xfire/xf/images/icons/tw2k4.gif
tw2k5,Tiger Woods PGA Tour 2005,http://media.xfire.com/xfire/xf/images/icons/tw2k5.gif
tquest,Titan Quest,http://media.xfire.com/xfire/xf/images/icons/tquest.gif
tquestd,Titan Quest Demo,http://media.xfire.com/xfire/xf/images/icons/tquestd.gif
tquestit,Titan Quest Immortal Throne,http://media.xfire.com/xfire/xf/images/icons/tquestit.gif
tmntd,TMNT Demo,http://media.xfire.com/xfire/xf/images/icons/tmntd.gif
toca2,Toca Race Driver 2,http://media.xfire.com/xfire/xf/images/icons/toca2.gif
toca3,Toca Race Driver 3,http://media.xfire.com/xfire/xf/images/icons/toca3.gif
tcrsixv,Tom Clancy's Rainbow Six Vegas,http://media.xfire.com/xfire/xf/images/icons/tcrsixv.gif
traidrl,Tomb Raider - Legend,http://media.xfire.com/xfire/xf/images/icons/traidrl.gif
thaw,Tony Hawk's American Wasteland,http://media.xfire.com/xfire/xf/images/icons/thaw.gif
thps3,Tony Hawk's Pro Skater 3,http://media.xfire.com/xfire/xf/images/icons/thps3.gif
thps4,Tony Hawk's Pro Skater 4,http://media.xfire.com/xfire/xf/images/icons/thps4.gif
thug2,Tony Hawk's Underground 2,http://media.xfire.com/xfire/xf/images/icons/thug2.gif
tto,Toontown Online,http://media.xfire.com/xfire/xf/images/icons/tto.gif
ta,Total Annihilation,http://media.xfire.com/xfire/xf/images/icons/ta.gif
tak,Total Annihilation Kingdoms,http://media.xfire.com/xfire/xf/images/icons/tak.gif
tcm05,Total Club Manager 2005,http://media.xfire.com/xfire/xf/images/icons/tcm05.gif
tod,Total Overdose,http://media.xfire.com/xfire/xf/images/icons/tod.gif
tmania,Trackmania,http://media.xfire.com/xfire/xf/images/icons/tmania.gif
tmanian,Trackmania Nations,http://media.xfire.com/xfire/xf/images/icons/tmanian.gif
tms,Trackmania Sunrise,http://media.xfire.com/xfire/xf/images/icons/tms.gif
tmaniau,Trackmania United,http://media.xfire.com/xfire/xf/images/icons/tmaniau.gif
trs2006,Trainz Railroad Simulator 2006,http://media.xfire.com/xfire/xf/images/icons/trs2006.gif
tribes2,Tribes 2,http://media.xfire.com/xfire/xf/images/icons/tribes2.gif
tribesv,Tribes Vengeance,http://media.xfire.com/xfire/xf/images/icons/tribesv.gif
tvmpd,Tribes Vengeance Multiplayer Demo,http://media.xfire.com/xfire/xf/images/icons/tvmpd.gif
trickstero,Trickster Online,http://media.xfire.com/xfire/xf/images/icons/trickstero.gif
tron2,Tron 2.0,http://media.xfire.com/xfire/xf/images/icons/tron2.gif
uttr,Troopers - Dawn of Destiny,http://media.xfire.com/xfire/xf/images/icons/uttr.gif
trop,Tropico,http://media.xfire.com/xfire/xf/images/icons/trop.gif
trop2,Tropico 2 Pirate Cove,http://media.xfire.com/xfire/xf/images/icons/trop2.gif
tcrimenyc,True Crime - New York City,http://media.xfire.com/xfire/xf/images/icons/tcrimenyc.gif
tcrime,True Crime - Streets of LA,http://media.xfire.com/xfire/xf/images/icons/tcrime.gif
truep,TruePoker.com,http://media.xfire.com/xfire/xf/images/icons/truep.gif
tcny,Tycoon City - New York,http://media.xfire.com/xfire/xf/images/icons/tcny.gif
ubers,UberSoldier,http://media.xfire.com/xfire/xf/images/icons/ubers.gif
ufoa,UFO Aftershock,http://media.xfire.com/xfire/xf/images/icons/ufoa.gif
uo,Ultima Online,http://media.xfire.com/xfire/xf/images/icons/uo.gif
ubpoker,Ultimate Bet.com,http://media.xfire.com/xfire/xf/images/icons/ubpoker.gif
uspidermn,Ultimate Spider-Man,http://media.xfire.com/xfire/xf/images/icons/uspidermn.gif
ucawamp,Universal Combat AWA Multiplayer,http://media.xfire.com/xfire/xf/images/icons/ucawamp.gif
ucawasp,Universal Combat AWA Single Player,http://media.xfire.com/xfire/xf/images/icons/ucawasp.gif
ucgmp,Universal Combat Gold Multiplayer,http://media.xfire.com/xfire/xf/images/icons/ucgmp.gif
ucgsp,Universal Combat Gold Single Player,http://media.xfire.com/xfire/xf/images/icons/ucgsp.gif
ucmp,Universal Combat Multiplayer,http://media.xfire.com/xfire/xf/images/icons/ucmp.gif
ucsp,Universal Combat Single Player,http://media.xfire.com/xfire/xf/images/icons/ucsp.gif
unreal,Unreal,http://media.xfire.com/xfire/xf/images/icons/unreal.gif
u2sp,Unreal II SP,http://media.xfire.com/xfire/xf/images/icons/u2sp.gif
u2xmp,Unreal II XMP,http://media.xfire.com/xfire/xf/images/icons/u2xmp.gif
ut,Unreal Tournament,http://media.xfire.com/xfire/xf/images/icons/ut.gif
ut2k3,Unreal Tournament 2003,http://media.xfire.com/xfire/xf/images/icons/ut2k3.gif
ut2k4,Unreal Tournament 2004,http://media.xfire.com/xfire/xf/images/icons/ut2k4.gif
ut2k4dem,Unreal Tournament 2004 Demo,http://media.xfire.com/xfire/xf/images/icons/ut2k4dem.gif
uldk,Untold Legends: Dark Kingdom,http://media.xfire.com/xfire/xf/images/icons/uldk.gif
vampmb,Vampire - The Masquerade Bloodlines,http://media.xfire.com/xfire/xf/images/icons/vampmb.gif
vanguardb,Vanguard - Saga of Heroes,http://media.xfire.com/xfire/xf/images/icons/vanguardb.gif
vntrl,Ventrilo,http://media.xfire.com/xfire/xf/images/icons/vntrl.gif
vcong,Vietcong,http://media.xfire.com/xfire/xf/images/icons/vcong.gif
vcong2,Vietcong 2,http://media.xfire.com/xfire/xf/images/icons/vcong2.gif
vcongfa,Vietcong Fist Alpha,http://media.xfire.com/xfire/xf/images/icons/vcongfa.gif
warf,War Front - Turning Point,http://media.xfire.com/xfire/xf/images/icons/warf.gif
wc2,Warcraft II,http://media.xfire.com/xfire/xf/images/icons/wc2.gif
w3,Warcraft III,http://media.xfire.com/xfire/xf/images/icons/w3.gif
w3ft,Warcraft III - The Frozen Throne,http://media.xfire.com/xfire/xf/images/icons/w3ft.gif
wh40kb,"Warhammer 40,000 Dawn of War Beta",http://media.xfire.com/xfire/xf/images/icons/wh40kb.gif
whmoc,Warhammer Mark of Chaos,http://media.xfire.com/xfire/xf/images/icons/whmoc.gif
whmocmpd,Warhammer Mark of Chaos MP Demo,http://media.xfire.com/xfire/xf/images/icons/whmocmpd.gif
wbc3,Warlords Battlecry III,http://media.xfire.com/xfire/xf/images/icons/wbc3.gif
wl4,Warlords IV: Heroes of Etheria,http://media.xfire.com/xfire/xf/images/icons/wl4.gif
wrock,WarRock,http://media.xfire.com/xfire/xf/images/icons/wrock.gif
warsow,Warsow,http://media.xfire.com/xfire/xf/images/icons/warsow.gif
we7,Winning Eleven 7 INTERNATIONAL,http://media.xfire.com/xfire/xf/images/icons/we7.gif
we8,Winning Eleven 8I,http://media.xfire.com/xfire/xf/images/icons/we8.gif
we9,Winning Eleven 9,http://media.xfire.com/xfire/xf/images/icons/we9.gif
wet,Wolfenstein: Enemy Territory,http://media.xfire.com/xfire/xf/images/icons/wet.gif
wow,World of Warcraft,http://media.xfire.com/xfire/xf/images/icons/wow.gif
worms3d,Worms 3D,http://media.xfire.com/xfire/xf/images/icons/worms3d.gif
worms4m,Worms 4 Mayhem,http://media.xfire.com/xfire/xf/images/icons/worms4m.gif
wormsa,Worms Armageddon,http://media.xfire.com/xfire/xf/images/icons/wormsa.gif
wormswp,Worms World Party,http://media.xfire.com/xfire/xf/images/icons/wormswp.gif
wptpoker,WPTOnline.com,http://media.xfire.com/xfire/xf/images/icons/wptpoker.gif
wulf2,Wulfram 2,http://media.xfire.com/xfire/xf/images/icons/wulf2.gif
ww2o,WWII Online,http://media.xfire.com/xfire/xf/images/icons/ww2o.gif
x2,X2 - The Threat,http://media.xfire.com/xfire/xf/images/icons/x2.gif
x3,X3 - The Reunion,http://media.xfire.com/xfire/xf/images/icons/x3.gif
xe,XEvil,http://media.xfire.com/xfire/xf/images/icons/xe.gif
xiii,XIII,http://media.xfire.com/xfire/xf/images/icons/xiii.gif
xmenl2,X-Men Legends 2,http://media.xfire.com/xfire/xf/images/icons/xmenl2.gif
xrally,Xpand Rally,http://media.xfire.com/xfire/xf/images/icons/xrally.gif
xwinga,X-Wing Alliance,http://media.xfire.com/xfire/xf/images/icons/xwinga.gif
xwvstf,X-Wing vs. TIE Fighter,http://media.xfire.com/xfire/xf/images/icons/xwvstf.gif
zt,Zoo Tycoon,http://media.xfire.com/xfire/xf/images/icons/zt.gif
zt2,Zoo Tycoon 2,http://media.xfire.com/xfire/xf/images/icons/zt2.gif
zt2aa,Zoo Tycoon 2 African Adventure,http://media.xfire.com/xfire/xf/images/icons/zt2aa.gif
zt2es,Zoo Tycoon 2 Endangered Species,http://media.xfire.com/xfire/xf/images/icons/zt2es.gif
zt2mm,Zoo Tycoon 2 Marine Mania,http://media.xfire.com/xfire/xf/images/icons/zt2mm.gif
tennis,Tennis,tennis.gif
football,Soccer,football.gif
rugby,Football,rugby.gif
rugby,Rugby,rugby.gif
basketball,Basketball,basketball.gif
baseball,Baseball,baseball.gif
ping-pong,Table Tennis,ping-pong.gif
paint-ball,Paint Ball,paint-ball.gif
chess,Chess,chess.gif
poker,Poker,cards.gif